"","naics2","PWCOUNTY","PERWT.sum","cntyind","ainsemp","p_ainsemp","einsemp","p_einsemp","looking4work","p_looking4work","trantime","NPBOSS90","SEI","HWSEI","PRENT","PRESGL","UHRSWORK","WKSWORK1","p_burd"
"90",53,111,5326,"11153",5326,1,3251,0.610401802478408,101,0.0189635749155088,17.1500187758167,581.420578295156,55.581299286519,4255.6610965077,464.90161472024,429.092189260233,38.9481787457754,47.9410439354112,0.24418728763488
"91",54,25,1154,"2554",1020,0.883882149046794,850,0.736568457538995,NA,NA,18.4185441941075,635.199306759099,60.9159445407279,4656.18544194107,552.672443674177,524.855285961872,41.3639514731369,50.0866551126516,0.102823309140065
"92",54,37,405616,"3754",389911,0.961281113171078,302797,0.746511478837127,3107,0.0076599542424362,16.8338058656463,745.61681738393,68.1669312847619,5239.59387943276,575.239845075145,528.139000926985,40.6288903790777,47.9772642104848,0.230793246563327
"93",54,59,163971,"5954",159900,0.975172439028853,121779,0.742686206707284,1175,0.00716590128742278,15.7431131114648,757.770020308469,68.0512346695452,5209.07080520336,576.960340548024,524.794725896652,40.4392666995993,47.8568466375152,0.230174217888769
"94",54,65,40910,"6554",39041,0.954314348570032,28032,0.685211439745783,245,0.00598875580542655,14.2681495966756,712.67548276705,64.7291860180885,4936.51417746272,545.813713028599,507.82881935957,39.8252994377903,48.9237350281105,0.24332046904767
"95",54,71,41934,"7154",39738,0.947631993132065,29571,0.705179567892402,539,0.0128535317403539,24.6207373491677,689.627295273525,60.6243382458149,4792.3785233939,541.680187914342,487.754852864024,39.885081318262,47.7908379834979,0.197445626552555
"96",54,111,32443,"11154",31153,0.960237955799402,23745,0.731899022901704,207,0.00638042104614247,12.3819005640662,754.90105723885,67.4540887094288,5227.97654347625,573.554295225472,516.3557007675,38.9505594427149,47.8196837530438,0.252562398208478
"97",55,37,3670,"3755",3670,1,3369,0.917983651226158,NA,NA,18.5405994550409,661.788828337875,59.2427792915531,4512.83760217984,539.216621253406,472.887738419619,42.4643051771117,49.1471389645777,0.311868019909386
"98",55,59,2848,"5955",2848,1,2553,0.896418539325843,NA,NA,12.8648174157303,735.48981741573,61.0474016853933,4447.5158005618,530.146418539326,466.465238764045,42.8651685393258,47.8518258426966,0.238850767767854
"99",55,65,434,"6555",434,1,366,0.84331797235023,NA,NA,5.86405529953917,662.502304147465,63.8824884792627,4530.89631336406,553.603686635945,549.873271889401,39.0783410138249,46.6728110599078,0.346125237954766
"100",55,71,468,"7155",468,1,418,0.893162393162393,NA,NA,16.9444444444444,566.401709401709,50.491452991453,4401.22222222222,466.303418803419,418.692307692308,40,52,0.264767512081139
"101",55,111,262,"11155",262,1,262,1,NA,NA,10,740,65,5825,567,506,24,52,0.128735632183908
"102",56,25,1965,"2556",1965,1,715,0.363867684478371,90,0.0458015267175573,27.2391857506361,279.145038167939,19.5760814249364,2663.96946564886,338.97048346056,251.499745547074,38.7541984732824,37.8916030534351,0.233785885339693
"103",56,37,228042,"3756",180897,0.793261767569132,102796,0.450776611325984,3682,0.0161461485165013,28.0745827523,325.114724480578,26.4293200375369,2872.13730803975,354.511046210786,287.011901316424,37.2860744950492,46.6300900711272,0.284658437682203
"104",56,59,80730,"5956",65112,0.806540319583798,38233,0.473590982286634,704,0.00872042611173046,21.7470209339775,378.021949708906,31.2305586522978,3090.19031339031,381.419893472067,314.863384119906,37.8154960981048,46.3897188158058,0.249829276070062
"105",56,65,46024,"6556",36264,0.787936728663306,17694,0.384451590474535,832,0.0180775247696854,26.1416217625587,290.72948896228,23.6379932209282,2706.25280288545,339.58480358074,278.783069702764,37.3302624717539,47.6562228402573,0.251632111516828
